epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,10374.2,1.1112,6.02411,1.12402,0.46922,0.44469,0.39046,0.30214,1.18576,10.2107,1.08513,0.008317,0.008317,0.008317
87,10492.8,1.12129,6.04374,1.12269,0.47043,0.44508,0.39143,0.30201,1.186,10.1845,1.08338,0.0082972,0.0082972,0.0082972
88,10614.1,1.10387,5.98705,1.1217,0.48504,0.44328,0.39754,0.30477,1.18324,10.2144,1.08119,0.0082774,0.0082774,0.0082774
89,10734.6,1.11571,6.05719,1.1219,0.48166,0.44532,0.39776,0.30253,1.18173,10.065,1.08171,0.0082576,0.0082576,0.0082576
90,10853.8,1.1028,5.92558,1.12197,0.49173,0.45171,0.39384,0.29838,1.19417,10.1288,1.09191,0.0082378,0.0082378,0.0082378
91,10977.3,1.11637,6.01203,1.12448,0.47233,0.46344,0.39045,0.29731,1.19417,10.1066,1.08981,0.008218,0.008218,0.008218
92,11099.6,1.10619,5.99281,1.12067,0.48287,0.46137,0.39082,0.29945,1.19659,10.0955,1.08946,0.0081982,0.0081982,0.0081982
93,11218.2,1.11849,5.95856,1.12125,0.49787,0.464,0.39477,0.30215,1.20103,10.1432,1.08968,0.0081784,0.0081784,0.0081784
94,11336.8,1.10462,5.88913,1.11397,0.49574,0.46798,0.39904,0.30414,1.19811,10.0484,1.08485,0.0081586,0.0081586,0.0081586
95,11457.3,1.10195,5.84179,1.11576,0.49276,0.44701,0.4011,0.3075,1.19302,10.1159,1.08154,0.0081388,0.0081388,0.0081388
96,11575.9,1.10878,5.95355,1.12176,0.50241,0.44931,0.40774,0.313,1.18396,10.0536,1.07686,0.008119,0.008119,0.008119
97,11695.3,1.09291,5.81414,1.11274,0.49182,0.46399,0.40597,0.31248,1.18906,10.0372,1.08046,0.0080992,0.0080992,0.0080992
98,11815.2,1.10207,5.87005,1.11596,0.49704,0.4455,0.40371,0.31224,1.19162,10.0608,1.08189,0.0080794,0.0080794,0.0080794
99,11937.4,1.09823,5.8403,1.11648,0.48536,0.45815,0.40873,0.31586,1.18575,10.1005,1.07791,0.0080596,0.0080596,0.0080596
100,12056.5,1.09162,5.84373,1.11794,0.45547,0.46878,0.41147,0.31978,1.17869,10.028,1.07694,0.0080398,0.0080398,0.0080398
101,12176.1,1.10003,5.86949,1.11332,0.5016,0.43717,0.41032,0.32083,1.178,9.96753,1.07718,0.00802,0.00802,0.00802
102,12294.9,1.09489,5.76684,1.11023,0.51128,0.44807,0.41199,0.32175,1.18513,9.94234,1.08216,0.0080002,0.0080002,0.0080002
103,12413.9,1.08074,5.74053,1.10547,0.4645,0.45837,0.41216,0.32022,1.18408,9.91538,1.0816,0.0079804,0.0079804,0.0079804
104,12533.6,1.10365,5.79411,1.11473,0.45834,0.46763,0.41384,0.32224,1.18684,9.93735,1.08296,0.0079606,0.0079606,0.0079606
105,12652.3,1.09241,5.80656,1.11209,0.45954,0.46665,0.41442,0.32318,1.18808,9.96977,1.08535,0.0079408,0.0079408,0.0079408
106,12771.5,1.09296,5.77592,1.10947,0.46359,0.467,0.4161,0.32209,1.1885,9.99734,1.08716,0.007921,0.007921,0.007921
107,12891.9,1.0885,5.75225,1.10835,0.46814,0.46684,0.41409,0.32311,1.1889,9.99348,1.08621,0.0079012,0.0079012,0.0079012
108,13011.8,1.07816,5.71054,1.10649,0.47195,0.45745,0.41291,0.32276,1.19081,9.96998,1.08614,0.0078814,0.0078814,0.0078814
109,13131,1.08684,5.76459,1.11206,0.525,0.41661,0.41566,0.32591,1.19133,9.93637,1.08533,0.0078616,0.0078616,0.0078616
